consumer_id,first_name,last_name,email,brand_id,store_id
0,Kimberly,Morgan,KimberlyMorgan@hotmail.com,5,3
1,Leona,Alderete,LeonaAlderete@gmail.com,9,3
2,Lucille,Bruce,LucilleBruce@hotmail.com,10,4
3,Sebastian,Stickles,SebastianStickles@gmail.com,7,1
4,Hattie,Santmyer,HattieSantmyer@hotmail.com,9,7
5,Louis,Hadfield,LouisHadfield@hotmail.com,0,9
6,Latonya,Shumate,LatonyaShumate@yahoo.com,0,4
7,Kirk,Carpenter,KirkCarpenter@hotmail.com,0,8
8,Byron,Louthan,ByronLouthan@gmail.com,3,5
9,Beatrice,Taylor,BeatriceTaylor@gmail.com,7,4
10,Virginia,Dougherty,VirginiaDougherty@hotmail.com,6,5
11,Dean,Newell,DeanNewell@gmail.com,5,0
12,James,Galvan,JamesGalvan@hotmail.com,4,3
13,Tonya,Bueti,TonyaBueti@gmail.com,1,9
14,Lillian,King,LillianKing@yahoo.com,2,5
15,Betty,Goodwin,BettyGoodwin@yahoo.com,1,4
16,Thomas,Boose,ThomasBoose@hotmail.com,7,0
17,Patricia,Wymer,PatriciaWymer@gmail.com,7,0
18,Robert,Phillips,RobertPhillips@hotmail.com,10,7
19,Yolanda,Booker,YolandaBooker@yahoo.com,0,0
20,Rose,Brooks,RoseBrooks@gmail.com,6,0
21,Rosaline,Underwood,RosalineUnderwood@yahoo.com,5,4
22,Terence,Usry,TerenceUsry@gmail.com,8,2
23,Michael,Clark,MichaelClark@gmail.com,2,6
24,Lori,Solomon,LoriSolomon@gmail.com,7,10
25,Daniel,Petrarca,DanielPetrarca@gmail.com,3,3
26,Daniel,Mack,DanielMack@yahoo.com,5,0
27,Richard,Estes,RichardEstes@gmail.com,3,0
28,Levi,Medina,LeviMedina@hotmail.com,6,6
29,Luz,Peterson,LuzPeterson@yahoo.com,3,10
30,Bruce,Ferreira,BruceFerreira@yahoo.com,0,0
31,Joseph,Pelzer,JosephPelzer@yahoo.com,1,0
32,Scott,Miller,ScottMiller@gmail.com,1,1
33,Shakira,Deen,ShakiraDeen@hotmail.com,6,1
34,Patricia,Dina,PatriciaDina@hotmail.com,6,4
35,Mary,Mazzei,MaryMazzei@yahoo.com,3,7
36,William,Mullins,WilliamMullins@hotmail.com,6,9
37,Joe,Farmer,JoeFarmer@yahoo.com,8,2
